序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2,301060,兰卫医学,13.48,20.04,2.25,210888.0,260025700.77,20.12,13.48,11.22,11.22,11.23,7.73,11.73,-4601.0,2.79,5398969160.0,2423561543.0,0.0,0.0,0.15,1.43
3,300133,华策影视,7.68,20.0,1.28,1406907.0,1041615699.81,12.34,7.68,6.89,6.89,6.4,3.66,8.64,33.46,2.08,14600246024.0,12505117448.0,0.0,0.0,13.78,30.83
8,300913,兆龙互连,44.89,13.53,5.35,325111.0,1424678387.68,14.8,47.0,41.15,41.5,39.54,5.02,15.42,123.88,11.15,11589231010.0,9465633247.0,0.65,1.33,47.13,49.48
9,300725,药石科技,41.65,12.81,4.73,180275.0,708285615.33,16.58,42.3,36.18,36.62,36.92,3.43,10.7,40.49,3.1,8316032006.0,7016079737.0,-0.34,-1.02,7.4,6.06
11,300271,华宇软件,7.52,11.57,0.78,389149.0,281067968.72,14.39,7.66,6.69,6.7,6.74,6.05,4.85,-17.29,1.14,6138391557.0,6029021286.0,0.67,0.27,-11.53,-8.18
12,301230,泓博医药,52.8,10.69,5.1,135952.0,664422101.73,20.59,54.99,45.17,46.8,47.7,2.76,22.9,92.78,5.05,5682476765.0,3134823965.0,-2.85,-2.53,49.49,47.49
13,301217,铜冠铜箔,11.76,10.32,1.1,145488.0,171680887.44,19.79,12.72,10.61,10.62,10.66,7.82,6.35,1250.93,1.75,9749222797.0,2693222797.0,0.26,-0.17,2.44,-0.84
18,300785,值得买,23.27,7.83,1.69,150847.0,343844866.68,14.27,24.18,21.1,21.2,21.58,5.12,13.25,246.8,2.57,4627361505.0,2648427952.0,-1.02,-0.77,-0.13,6.45
19,300634,彩讯股份,21.42,7.8,1.55,441098.0,928470233.2,11.83,22.05,19.7,19.7,19.87,4.66,10.23,23.45,3.7,9588732615.0,9238194315.0,-0.46,0.0,-1.02,4.64
26,300075,数字政通,16.6,6.41,1.0,368178.0,602533324.34,8.01,16.8,15.55,15.6,15.6,4.84,7.16,42.4,2.51,10310760623.0,8538886052.0,0.0,-0.36,-9.83,-5.68
