"日期","收盘","开盘","高","低","涨跌幅"
"2024-3-20","2.296","2.296","2.300","2.293","0.15%"
"2024-3-19","2.293","2.299","2.304","2.280","0.00%"
"2024-3-18","2.292","2.320","2.365","2.288","-1.88%"
"2024-3-15","2.336","2.369","2.369","2.333","-0.60%"
"2024-3-14","2.350","2.358","2.358","2.337","0.47%"
"2024-3-13","2.339","2.395","2.395","2.321","-0.81%"
"2024-3-12","2.358","2.400","2.400","2.315","1.95%"
"2024-3-11","2.313","2.300","2.313","2.271","0.48%"
"2024-3-8","2.302","2.294","2.323","2.283","0.22%"
"2024-3-7","2.297","2.293","2.314","2.255","0.57%"
"2024-3-6","2.284","2.333","2.339","2.283","-2.06%"
"2024-3-5","2.332","2.366","2.384","2.331","-1.27%"
"2024-3-4","2.362","2.378","2.427","2.353","-1.23%"
"2024-3-3","2.391","2.391","2.391","2.391","0.00%"
"2024-3-2","2.391","2.384","2.391","2.384","0.31%"
"2024-3-1","2.384","2.363","2.389","2.363","0.89%"
"2024-2-29","2.363","2.396","2.396","2.341","-0.76%"
"2024-2-28","2.381","2.400","2.400","2.373","-0.17%"
"2024-2-27","2.385","2.385","2.419","2.364","0.04%"
"2024-2-26","2.384","2.405","2.419","2.376","-0.71%"
"2024-2-23","2.401","2.424","2.429","2.386","-0.21%"
"2024-2-22","2.406","2.431","2.431","2.405","-0.58%"
"2024-2-21","2.420","2.426","2.453","2.417","-0.70%"
"2024-2-20","2.437","2.495","2.495","2.421","-0.57%"
"2024-2-19","2.451","2.539","2.539","2.436","-0.10%"
"2024-2-18","2.454","2.444","2.461","2.437","-0.39%"
"2024-2-9","2.463","2.439","2.466","2.438","0.74%"
"2024-2-8","2.445","2.439","2.457","2.438","-0.08%"
"2024-2-7","2.447","2.533","2.533","2.419","-0.61%"
"2024-2-6","2.462","2.450","2.462","2.404","2.46%"
"2024-2-5","2.403","2.434","2.434","2.399","-0.52%"
"2024-2-4","2.415","2.428","2.444","2.412","-0.80%"
"2024-2-2","2.435","2.458","2.458","2.432","-0.33%"
"2024-2-1","2.443","2.473","2.473","2.425","0.33%"
"2024-1-31","2.435","2.555","2.555","2.418","-1.38%"
"2024-1-30","2.469","2.593","2.593","2.460","-1.16%"
"2024-1-29","2.498","2.530","2.530","2.493","-0.20%"
"2024-1-26","2.503","2.619","2.619","2.495","-0.24%"
"2024-1-25","2.509","2.537","2.537","2.506","-0.04%"
"2024-1-24","2.510","2.540","2.540","2.494","0.04%"
"2024-1-23","2.509","2.540","2.540","2.497","0.48%"
"2024-1-22","2.497","2.622","2.622","2.489","-0.32%"
"2024-1-19","2.505","2.609","2.609","2.499","-0.32%"
"2024-1-18","2.513","2.607","2.607","2.501","0.04%"
"2024-1-17","2.512","2.620","2.620","2.507","-0.75%"
"2024-1-16","2.531","2.641","2.641","2.523","0.04%"
"2024-1-15","2.530","2.616","2.616","2.515","0.28%"
"2024-1-12","2.523","2.528","2.528","2.502","0.92%"
"2024-1-11","2.500","2.540","2.600","2.490","-1.69%"
"2024-1-10","2.543","2.540","2.563","2.538","0.12%"
"2024-1-9","2.540","2.553","2.556","2.532","-0.74%"
"2024-1-8","2.559","2.600","2.600","2.551","-0.58%"
"2024-1-6","2.574","2.575","2.575","2.574","0.27%"
"2024-1-5","2.567","2.571","2.593","2.544","-0.16%"
"2024-1-4","2.571","2.580","2.624","2.568","-0.35%"
"2024-1-3","2.580","2.586","2.610","2.576","-0.23%"
"2024-1-2","2.586","2.695","2.695","2.562","-0.25%"
"2023-12-30","2.592","2.592","2.592","2.592","0.52%"
"2023-12-29","2.579","2.591","2.620","2.573","-0.39%"
"2023-12-28","2.589","2.623","2.623","2.565","-0.08%"
"2023-12-27","2.591","2.603","2.634","2.578","-0.46%"
"2023-12-26","2.603","2.686","2.686","2.580","0.42%"
"2023-12-25","2.592","2.706","2.706","2.583","-0.96%"
"2023-12-22","2.617","2.619","2.638","2.610","-0.08%"
"2023-12-21","2.619","2.641","2.690","2.611","-0.83%"
"2023-12-20","2.641","2.635","2.695","2.629","0.23%"
"2023-12-19","2.635","2.632","2.650","2.628","0.11%"
"2023-12-18","2.632","2.734","2.734","2.622","-0.66%"
"2023-12-16","2.649","2.648","2.649","2.648","0.59%"
"2023-12-15","2.634","2.672","2.672","2.628","-0.87%"
