time,open,high,low,close,volume
2022-01-26,8.5,11.95,8.5,10.55,881979200.0
2022-01-27,10.5,11.33,10.05,10.17,399821560.0
2022-01-28,10.03,10.84,9.07,10.51,267374360.0
2022-02-07,10.84,10.93,10.01,10.65,211856687.0
2022-02-08,10.31,10.69,9.72,10.32,192848950.0
2022-02-09,10.26,11.22,9.97,11.06,207079379.0
2022-02-10,10.93,10.96,9.95,9.96,198970736.0
2022-02-11,9.69,10.18,9.32,9.41,164957482.0
2022-02-14,9.3,9.59,9.18,9.42,69529202.0
2022-02-15,9.47,10.18,9.4,9.99,139622903.0
2022-02-16,10.08,10.55,10.02,10.42,116988370.0
2022-02-17,10.38,10.95,10.31,10.52,97291718.0
2022-02-18,10.43,10.91,10.38,10.52,67050403.0
2022-02-21,10.66,11.42,10.53,11.38,112630623.0
2022-02-22,11.19,12.18,10.96,11.65,109691844.0
2022-02-23,11.65,11.7,11.32,11.43,73302305.0
2022-02-24,11.43,12.2,11.21,11.64,131256600.0
2022-02-25,11.99,12.28,11.36,11.59,74772010.0
2022-02-28,11.79,12.82,11.4,12.5,115958790.0
2022-03-01,12.86,13.79,12.31,12.73,138961086.0
2022-03-02,12.89,13.05,12.18,12.86,111988095.0
2022-03-03,12.75,12.93,12.3,12.3,59774569.0
2022-03-04,12.2,12.81,12.1,12.33,68218186.0
2022-03-07,12.33,12.76,11.87,12.42,78230668.0
2022-03-08,12.47,13.2,12.14,12.52,109333049.0
2022-03-09,12.8,13.05,11.7,12.2,164835965.0
2022-03-10,12.5,13.38,12.43,12.9,160692520.0
2022-03-11,12.43,12.74,11.93,12.4,133792666.0
2022-03-14,12.13,12.75,11.99,12.31,86391849.0
2022-03-15,12.0,12.95,11.91,12.57,109592858.0
2022-03-16,12.65,12.85,11.44,12.32,153967732.0
2022-03-17,12.5,12.65,11.58,11.84,137667183.0
2022-03-18,11.7,11.95,11.3,11.83,72377588.0
2022-03-21,11.96,12.86,11.83,12.39,102176212.0
2022-03-22,12.25,12.68,12.0,12.27,86545066.0
2022-03-23,12.4,12.62,12.25,12.57,70376891.0
2022-03-24,12.6,12.6,11.83,12.19,64553345.0
