time,open,high,low,close,volume
2005-07-13,1.61091,1.61647,1.58865,1.59422,15123602.25792
2005-07-14,1.59422,1.61926,1.58865,1.60256,12239400.77568
2005-07-15,1.597,1.61369,1.55805,1.57474,11448434.35008
2005-07-18,1.57474,1.58587,1.53579,1.57196,15946201.58976
2005-07-19,1.57196,1.61369,1.54414,1.59143,18492375.58271999
2005-07-20,1.59422,1.61926,1.57474,1.61091,20024733.08159999
2005-07-21,1.61369,1.61369,1.58587,1.60813,9377253.55008
2005-07-22,1.61647,1.68325,1.61647,1.65542,45338415.48288
2005-07-25,1.65264,1.6749,1.63038,1.65264,19693358.53056
2005-07-26,1.64986,1.69716,1.6443,1.67212,30919474.75968001
2005-07-27,1.6749,1.69159,1.64986,1.68881,26193397.80096
2005-07-28,1.68881,1.71107,1.66934,1.6749,34224622.84800001
2005-07-29,1.66934,1.67768,1.63873,1.64986,21735224.70912
2005-08-01,1.64708,1.66655,1.61926,1.64986,19165530.00959999
2005-08-02,1.65264,1.67768,1.63317,1.6749,22529814.12864
2005-08-03,1.68047,1.76393,1.67212,1.69716,55865872.55807998
2005-08-04,1.69438,1.71107,1.6749,1.68047,24606325.18656
2005-08-05,1.68047,1.73889,1.68047,1.73055,53623544.83200002
2005-08-08,1.73889,1.75559,1.71663,1.73611,34883673.47712
2005-08-09,1.73889,1.74724,1.71107,1.74446,30393421.79328
2005-08-10,1.74724,1.77228,1.72776,1.7528,41510610.98496002
2005-08-11,1.7528,1.80567,1.74446,1.8001,80985609.76896
2005-08-12,1.8001,1.80288,1.72498,1.72498,60589907.98848001
2005-08-15,1.72498,1.76115,1.71663,1.7528,35109201.2544
2005-08-16,1.7528,1.76115,1.70272,1.71107,39857645.16864
2005-08-17,1.71107,1.72498,1.66377,1.7222,37566672.99839998
2005-08-18,1.7222,1.75002,1.66934,1.6749,48389069.81376
2005-08-19,1.6749,1.70829,1.64151,1.66099,28106180.44416
2005-08-22,1.66655,1.69159,1.65542,1.68047,16744784.20991999
2005-08-23,1.68047,1.68325,1.63317,1.66655,23767724.29824
2005-08-24,1.66099,1.69159,1.66099,1.67768,17847500.63616
2005-08-25,1.68047,1.68881,1.65264,1.67212,15519568.896
2005-08-26,1.66934,1.72498,1.66377,1.71107,35645152.75776
2005-08-29,1.71942,1.73611,1.68325,1.69159,27616163.328
2005-08-30,1.71107,1.73055,1.69159,1.70551,31774767.29856001
2005-09-01,1.73611,1.76393,1.71942,1.75002,54941408.8704
2005-09-02,1.76115,1.79175,1.73611,1.74167,47706879.46751999
2005-09-05,1.74446,1.75837,1.72498,1.75559,28027955.4048
2005-09-06,1.76115,1.76393,1.70551,1.71107,32520604.44672
2005-09-07,1.70829,1.73333,1.69438,1.72776,30277496.77056001
2005-09-08,1.72776,1.78341,1.71942,1.75837,64680595.2
2005-09-09,1.75559,1.78619,1.73333,1.73889,35624773.41696
2005-09-12,1.74167,1.75002,1.71942,1.73611,17817984.73728
2005-09-13,1.73611,1.76393,1.71942,1.76115,29517447.99743999
2005-09-14,1.75837,1.78063,1.7528,1.77506,48315197.39904
2005-09-15,1.77506,1.77784,1.74167,1.74724,29735169.08544
2005-09-16,1.75002,1.77228,1.74167,1.7528,26171825.17248001
2005-09-19,1.7528,1.75837,1.73055,1.74724,24984942.42815998
2005-09-20,1.74446,1.74446,1.70551,1.70829,37976506.2144
2005-09-21,1.70829,1.71942,1.6749,1.67768,30049255.34207998
2005-09-22,1.6749,1.68047,1.62204,1.64151,33747066.96192
2005-09-23,1.64151,1.65542,1.62204,1.6276,16932842.0352
2005-09-26,1.6276,1.65542,1.61647,1.65264,14736833.28
2005-09-27,1.66655,1.66655,1.59978,1.60256,18083800.35072
2005-10-21,1.74724,1.76393,1.68047,1.76393,63640691.71199998
2005-10-24,1.82792,1.83071,1.73333,1.73889,136102992.62975997
2005-10-25,1.73055,1.7528,1.67212,1.69159,62745801.43104
2005-10-26,1.69716,1.71107,1.6276,1.64708,48426539.76576001
2005-10-27,1.64708,1.65821,1.60813,1.62204,35991263.69280002
2005-10-28,1.61926,1.63317,1.53301,1.55248,36705856.11263999
2005-10-31,1.55248,1.60813,1.55248,1.58865,32689760.16383999
2005-11-01,1.58309,1.597,1.55805,1.58587,16073872.5888
2005-11-02,1.58309,1.61091,1.57474,1.60256,15953735.1168
2005-11-03,1.60534,1.60813,1.56083,1.57752,15401961.76896
2005-11-04,1.57196,1.58865,1.55805,1.58587,11239975.61856
2005-11-07,1.59143,1.59422,1.56639,1.59143,11226378.60864
2005-11-08,1.59143,1.60813,1.57196,1.60256,11786637.95712
2005-11-09,1.60256,1.60813,1.57474,1.58865,9637789.22496
2005-11-10,1.58587,1.58587,1.53857,1.54414,15703870.74048
2005-11-11,1.54414,1.55805,1.53301,1.54135,9430789.75488
2005-11-14,1.54135,1.57474,1.54135,1.55805,6033568.02048
2005-11-15,1.56083,1.57752,1.55248,1.56083,10015982.34624
2005-11-16,1.55526,1.57474,1.5497,1.57474,8462206.7712
2005-11-17,1.5803,1.58587,1.56639,1.5803,12146748.45696
2005-11-18,1.58587,1.61647,1.56918,1.60813,27171839.78496001
2005-11-21,1.60813,1.60813,1.58865,1.597,12386265.01632
2005-11-22,1.59422,1.59422,1.55805,1.55805,10746134.23104
2005-11-23,1.55248,1.57752,1.54692,1.57474,8340282.96192
2005-11-24,1.5803,1.60256,1.55805,1.58587,12617755.63776
2005-11-25,1.58865,1.64151,1.57752,1.63595,49461296.30207999
2005-11-28,1.63595,1.63595,1.60534,1.61091,16736441.97888
2005-11-29,1.59978,1.63038,1.59978,1.60813,11378533.57056
2005-11-30,1.60256,1.6276,1.597,1.62482,13113836.2368
2005-12-01,1.62482,1.6276,1.60534,1.61369,9486518.44608
2005-12-02,1.61091,1.6276,1.60256,1.62204,15540537.69216
2005-12-05,1.61369,1.61369,1.56083,1.56361,16045122.26304
2005-12-06,1.55805,1.6276,1.55805,1.60256,17901446.58432
2005-12-07,1.60256,1.62204,1.59422,1.61647,14686826.61888
2005-12-08,1.61369,1.63595,1.60813,1.61647,12588577.59744
2005-12-09,1.61647,1.64708,1.60534,1.63595,26859266.70336
2005-12-12,1.64151,1.66377,1.6276,1.64151,23151125.23776
2005-12-13,1.63595,1.64151,1.62204,1.64151,13223025.65376
2005-12-14,1.64151,1.71385,1.63317,1.68881,52045745.35680002
2005-12-15,1.69159,1.69994,1.66655,1.66934,46984947.60960001
2005-12-16,1.66934,1.67768,1.65821,1.67212,20453845.80096
2005-12-19,1.67212,1.67768,1.65542,1.66655,14738896.37376
2005-12-20,1.66655,1.70551,1.66377,1.69438,33719711.20128
2005-12-21,1.69438,1.72776,1.68325,1.68603,40364443.79136
2005-12-22,1.68325,1.69438,1.67212,1.68603,17435618.70336
2005-12-23,1.68603,1.71385,1.68603,1.70551,26270558.94528
2005-12-26,1.71942,1.74446,1.70829,1.73333,57050713.77408
2005-12-27,1.73333,1.73333,1.71385,1.72498,20103903.40608001
2005-12-28,1.72498,1.72498,1.70551,1.71663,17506648.07424
2005-12-29,1.71663,1.74167,1.70829,1.73055,28609413.5808
2005-12-30,1.73333,1.73611,1.70551,1.70829,20267682.14016
2006-01-04,1.70551,1.76115,1.70272,1.74724,55513327.93343998
2006-01-05,1.7528,1.76671,1.73611,1.75837,55299535.34976002
2006-01-06,1.78063,1.80845,1.76671,1.78341,85781641.4208
2006-01-09,1.78063,1.79175,1.76393,1.77784,39616108.64640002
2006-01-10,1.76671,1.7695,1.71107,1.74724,77012925.05087999
2006-01-11,1.74724,1.76671,1.72498,1.73333,35041288.08959999
2006-01-12,1.72776,1.74724,1.7222,1.74724,24155215.7184
2006-01-13,1.73889,1.76671,1.71942,1.72776,28741987.12319999
2006-01-16,1.71942,1.71942,1.69159,1.69438,35117266.72895999
2006-01-17,1.69438,1.71942,1.68325,1.70829,19606108.35455999
2006-01-18,1.70829,1.74167,1.69994,1.73333,24123137.1264
2006-01-19,1.73333,1.7528,1.71942,1.74724,28606951.5264
2006-01-20,1.75837,1.76115,1.71942,1.73333,22388873.19552001
2006-01-23,1.73333,1.73889,1.70829,1.71942,25437647.73888
2006-01-24,1.71385,1.74446,1.70829,1.74167,30098007.61344
2006-01-25,1.73889,1.7695,1.73333,1.76671,41548918.39488001
2006-02-06,1.76671,1.8001,1.75837,1.78063,38469639.53663999
2006-02-07,1.78063,1.78063,1.72498,1.7528,43470542.86848001
2006-02-08,1.74446,1.75559,1.71942,1.7528,27509256.25343999
2006-02-09,1.74724,1.75002,1.71942,1.7222,26158889.50271999
2006-02-10,1.72498,1.73611,1.71107,1.72776,21381777.93024001
2006-02-13,1.72776,1.74167,1.71385,1.72776,19547227.51488
2006-02-14,1.7222,1.75002,1.71385,1.73333,19472305.58208
